year,title,vote_average,vote_count,budget,revenue,runtime,genres_description
2023,Kaina of the Great Snow Sea: Star Sage,0,0,0,0,100,"Fantasy, Animation"
2024,Furiosa: A Mad Max Saga,0,0,150000000,0,0,"Action, Science Fiction, Thriller"
2024,Inside Out 2,0,0,0,0,0,"Drama, Animation, Comedy, Family"
#VALUE!,Your Fault,0,0,0,0,0,"Romance, Drama"
2024,The Bremen Town Musicians,0,0,0,0,0,"Family, Adventure"
2024,Sonic the Hedgehog 3,0,0,0,0,0,"Science Fiction, Comedy, Family, Action"
2024,Mean Girls,0,0,0,0,113,Comedy
2024,Dune: Part Two,0,0,0,0,166,"Science Fiction, Adventure, Drama"
2024,Godzilla x Kong: The New Empire,0,0,0,0,0,"Action, Science Fiction, Adventure"
2023,Jashin-chan Dropkick [Seikimatsu-hen],0,0,0,0,60,"Animation, Action, Comedy, Adventure"
2024,Deadpool 3,0,0,0,0,0,"Adventure, Comedy, Action"
2023,Hibang,0,0,0,0,109,"Romance, Thriller"
2024,The Garfield Movie,0,0,0,0,0,"Animation, Comedy, Family"
2024,Kingdom of the Planet of the Apes,0,0,0,0,0,"Science Fiction, Action"
2024,The Beekeeper,0,0,0,0,105,"Action, Thriller"
